name,type,location,reviews count
House of MinaLima,Speciality & Gift Shops • Speciality Museums,Soho,300
Docklands Light Railway,Rail Services,Westminster,423
London Minicab Service,Taxis & Shuttles,Unknown,480
Old & New Photography,Game & Entertainment Centres,Knightsbridge,235
Banya No.1 - Hoxton,Spas,Unknown,428
Eighteen Sky Bar,Bars & Clubs,Greenwich,247
See Your City,Walking Tours • Sightseeing Tours,Mayfair,"7,167"
Liquid History Tours,"Bar, Club & Pub Tours • Walking Tours",City of London,"5,544"
City Airport Taxis,Taxis & Shuttles,Islington,"1,210"
Hyper Reality,Bars & Clubs • Karaoke Bars,Unknown,327
Trapped Escape Rooms,Escape Games • Game & Entertainment Centres,Unknown,766
Gourmaze,Scavenger Hunts,Unknown,285
Akasha Holistic Wellbeing Centre,Health Clubs • Yoga & Pilates,Soho,335
School of Wok,Lessons & Workshops,Covent Garden,604
Chronos One Escape Rooms,Escape Games,Unknown,564
Sofitel SPA,Spas,St. James's,519
The Boat Show Comedy Club,Bars & Clubs • Comedy Clubs,By mazwaz2010,555
Back To The Future - The Musical,Theatre & Performances,City of London,383
SENSAS London,Escape Games,Unknown,294
Jack the Ripper Tour - Discovery Tours,Walking Tours,East End / East London,"3,972"
Be At One Covent Garden,Bars & Clubs,Covent Garden,641
Comedy Store London Piccadilly Circus,Bars & Clubs • Theatres,Trafalgar Square / Embankment,"1,327"
Escape Rooms,Escape Games,Southwark,842
ESPA Life at Corinthia,Spas,Westminster,482
Jeff Wayne's The War Of The Worlds: The Immersive Experience,"Bar, Club & Pub Tours • Night Tours",City of London,"5,415"
Sherlock: The Official Live Game,Escape Games,Unknown,672
Sim Local,Airport Shops,Unknown,211
